Date,Type,Market,Code,Quantity,Price ($),Brokerage ($),Net Consideration ($),Order Reference
15/03/2021,BUY,ASX,CBA,200,73.00,9.50,14609.50,SW-20210315-0001
10/11/2020,BUY,ASX,BHP,150,52.00,9.50,7809.50,SW-20201110-0002
20/06/2022,BUY,ASX,CSL,20,275.00,9.50,5509.50,SW-20220620-0003
15/01/2023,BUY,ASX,WBC,300,30.00,9.50,9009.50,SW-20230115-0004
01/03/2023,BUY,ASX,TLS,500,3.80,9.50,1909.50,SW-20230301-0005
12/09/2023,SELL,ASX,CBA,100,82.00,9.50,8190.50,SW-20230912-0006
22/01/2024,SELL,ASX,BHP,80,63.75,9.50,5090.50,SW-20240122-0007
05/03/2024,SELL,ASX,WBC,200,29.10,9.50,5810.50,SW-20240305-0008
10/05/2024,SELL,ASX,TLS,300,3.30,9.50,980.50,SW-20240510-0009
28/09/2023,DIV,ASX,CBA,,0.00,,840.00,DIV-20230928-0010
15/12/2023,DIV,ASX,BHP,,0.00,,620.00,DIV-20231215-0011
28/03/2024,DIV,ASX,WBC,,0.00,,480.00,DIV-20240328-0012
20/02/2024,DIV,ASX,CSL,,0.00,,95.00,DIV-20240220-0013
10/10/2023,DIV,ASX,TLS,,0.00,,180.00,DIV-20231010-0014
